identifier,timepoint_index,timestamp,split,timeseries
Bearing3_1,285,09:57:59,Training,"{'channel1': array([-0.112, -0.129,  0.087, ...,  0.459,  0.048,  0.307]), 'channel2': array([ 0.115, -0.215,  0.287, ..., -0.033, -0.205,  0.37 ])}"
Bearing3_1,290,09:58:49,Training,"{'channel1': array([ 0.22 ,  0.092, -0.155, ...,  0.109,  0.034,  0.029]), 'channel2': array([-0.174, -0.121,  0.509, ..., -0.172, -0.428,  0.2  ])}"
Bearing3_1,183,09:40:59,Training,"{'channel1': array([-0.717, -0.4  , -0.041, ..., -0.766, -0.647, -0.198]), 'channel2': array([-0.44 ,  0.322,  0.194, ..., -0.029, -0.019, -0.188])}"
Bearing3_1,193,09:42:39,Training,"{'channel1': array([-0.364, -0.233, -0.095, ...,  0.062,  0.305,  0.444]), 'channel2': array([ 0.247,  0.127, -0.289, ..., -0.535,  0.321, -0.259])}"
Bearing3_1,118,09:30:09,Training,"{'channel1': array([-0.003,  0.295,  0.176, ..., -0.444, -0.131,  0.131]), 'channel2': array([-0.747,  0.421,  0.576, ...,  0.299,  0.172, -0.061])}"
Bearing3_1,218,09:46:49,Training,"{'channel1': array([-0.07 , -0.349, -0.352, ...,  0.355,  0.158, -0.127]), 'channel2': array([-0.465, -0.047, -0.16 , ..., -0.055,  0.009,  0.041])}"
Bearing3_1,2,09:10:49,Training,"{'channel1': array([ 0.236,  0.114, -0.512, ..., -0.154, -0.438, -0.644]), 'channel2': array([-0.221, -0.499, -0.087, ...,  0.19 , -0.255, -0.009])}"
Bearing3_1,216,09:46:29,Training,"{'channel1': array([-0.086,  0.053,  0.02 , ..., -0.173,  0.132,  0.251]), 'channel2': array([-0.189, -0.376,  0.249, ..., -0.287,  0.071, -0.199])}"
Bearing3_1,260,09:53:49,Training,"{'channel1': array([-0.441,  0.045, -0.367, ...,  0.269,  0.212, -0.045]), 'channel2': array([-0.191, -0.137, -0.127, ..., -0.075,  0.315, -0.21 ])}"
Bearing3_1,428,10:21:49,Training,"{'channel1': array([ 0.175,  0.447,  0.137, ..., -0.157,  0.106,  0.018]), 'channel2': array([ 0.019, -0.519, -0.105, ..., -0.005,  0.141, -0.515])}"
Bearing3_1,252,09:52:29,Training,"{'channel1': array([-0.354, -0.095,  0.03 , ..., -0.219, -0.415, -0.426]), 'channel2': array([ 0.304,  0.249,  0.062, ...,  0.007,  0.14 , -0.197])}"
Bearing3_1,121,09:30:39,Training,"{'channel1': array([-0.287, -0.262,  0.001, ..., -0.254, -0.162, -0.418]), 'channel2': array([-0.039, -0.171, -0.168, ...,  0.177,  0.03 , -0.233])}"
Bearing3_1,132,09:32:29,Training,"{'channel1': array([ 0.482,  0.638,  0.452, ...,  0.205, -0.027,  0.075]), 'channel2': array([-0.342, -0.074, -0.289, ...,  0.386,  0.248, -0.312])}"
Bearing3_1,297,09:59:59,Training,"{'channel1': array([-0.482, -0.117, -0.194, ...,  0.273,  0.539,  0.856]), 'channel2': array([ 0.155,  0.02 , -0.08 , ..., -0.821, -0.773, -0.628])}"
Bearing3_1,321,10:03:59,Training,"{'channel1': array([-0.018,  0.01 , -0.244, ..., -0.047, -0.067, -0.712]), 'channel2': array([-0.086,  0.234,  0.232, ...,  0.691, -0.346,  0.158])}"
Bearing3_1,493,10:32:39,Training,"{'channel1': array([ 0.015, -0.016,  0.026, ...,  0.166,  0.042, -0.105]), 'channel2': array([-0.083, -0.127, -0.082, ...,  0.611, -0.432, -0.242])}"
Bearing3_1,498,10:33:29,Training,"{'channel1': array([ 0.36 ,  0.072, -0.39 , ..., -0.349, -0.896, -1.512]), 'channel2': array([ 1.044,  0.04 ,  0.175, ..., -1.397,  0.027, -1.079])}"
Bearing3_1,40,09:17:09,Training,"{'channel1': array([-0.083,  0.094,  0.264, ..., -0.251, -0.159, -0.016]), 'channel2': array([ 0.333, -0.291, -0.145, ...,  0.252,  0.515,  0.141])}"
Bearing3_1,96,09:26:29,Training,"{'channel1': array([-0.087,  0.033, -0.038, ...,  0.05 , -0.346, -0.43 ]), 'channel2': array([ 0.961,  0.157, -0.309, ..., -0.41 , -0.009,  0.324])}"
Bearing3_1,305,10:01:19,Training,"{'channel1': array([ 0.049, -0.161,  0.249, ..., -0.45 , -0.585, -0.394]), 'channel2': array([ 0.077, -0.156, -0.068, ...,  0.117,  0.016,  0.248])}"
Bearing3_1,11,09:12:19,Training,"{'channel1': array([ 0.347,  0.786,  0.773, ..., -0.218, -0.009, -0.026]), 'channel2': array([ 0.23 , -0.375, -0.626, ...,  0.217,  0.281, -0.099])}"
Bearing3_1,88,09:25:09,Training,"{'channel1': array([-0.476, -0.086, -0.084, ...,  0.185, -0.189, -0.181]), 'channel2': array([ 0.334, -0.083, -0.141, ..., -0.1  ,  0.13 , -0.384])}"
Bearing3_1,168,09:38:29,Training,"{'channel1': array([ 0.132,  0.378,  0.203, ...,  0.077, -0.129, -0.213]), 'channel2': array([-0.347, -0.269,  0.37 , ..., -0.425,  0.241, -0.077])}"
Bearing3_1,23,09:14:19,Training,"{'channel1': array([0.315, 0.507, 0.744, ..., 1.223, 1.54 , 1.418]), 'channel2': array([ 1.209,  0.444, -0.083, ...,  0.619, -0.003,  0.186])}"
Bearing3_1,181,09:40:39,Training,"{'channel1': array([ 0.073,  0.194, -0.113, ...,  0.167, -0.039, -0.237]), 'channel2': array([-0.287, -0.099,  0.035, ..., -0.082, -0.15 , -0.364])}"
Bearing3_1,350,10:08:49,Training,"{'channel1': array([-0.095, -0.098, -0.161, ...,  0.082,  0.158,  0.06 ]), 'channel2': array([ 0.202, -0.299, -0.176, ...,  0.103, -0.188, -0.271])}"
Bearing3_1,429,10:21:59,Training,"{'channel1': array([ 0.159,  0.24 ,  0.047, ...,  0.077, -0.35 , -0.558]), 'channel2': array([ 0.502, -0.101, -0.052, ..., -0.086,  0.013,  0.127])}"
Bearing3_1,24,09:14:29,Training,"{'channel1': array([ 0.289,  0.574,  0.335, ..., -0.231, -0.048,  0.047]), 'channel2': array([ 0.29 , -0.553, -0.265, ...,  0.093,  0.099, -0.527])}"
Bearing3_1,184,09:41:09,Training,"{'channel1': array([ 0.161,  0.52 ,  0.467, ..., -0.349, -0.19 ,  0.178]), 'channel2': array([-0.237, -0.485, -0.045, ...,  0.12 , -0.116, -0.559])}"
Bearing3_1,363,10:10:59,Training,"{'channel1': array([ 0.147, -0.035, -0.285, ...,  0.824,  0.56 ,  0.333]), 'channel2': array([ 0.371, -0.285, -0.397, ..., -0.261,  0.092,  0.694])}"
Bearing3_1,268,09:55:09,Training,"{'channel1': array([ 0.459,  0.782,  0.054, ...,  0.046, -0.115, -0.312]), 'channel2': array([ 0.145,  0.568,  0.124, ...,  0.643, -0.849,  0.273])}"
Bearing3_1,189,09:41:59,Training,"{'channel1': array([ 0.045,  0.117,  0.23 , ..., -0.559, -0.307,  0.052]), 'channel2': array([-0.748,  0.001,  0.64 , ..., -0.235,  0.033,  0.353])}"
Bearing3_1,304,10:01:09,Training,"{'channel1': array([0.256, 0.264, 0.563, ..., 0.426, 0.494, 0.341]), 'channel2': array([-0.65 , -0.188,  0.122, ..., -0.028,  0.1  ,  0.118])}"
Bearing3_1,154,09:36:09,Training,"{'channel1': array([-0.005, -0.002, -0.011, ...,  0.151, -0.174,  0.086]), 'channel2': array([ 0.164,  0.239, -0.087, ..., -0.226,  0.161,  0.113])}"
Bearing3_1,3,09:10:59,Training,"{'channel1': array([-0.651, -0.361, -0.034, ...,  0.292,  0.285, -0.075]), 'channel2': array([ 0.481,  0.229, -0.299, ...,  0.012,  0.026,  0.228])}"
Bearing3_1,115,09:29:39,Training,"{'channel1': array([0.113, 0.217, 0.059, ..., 0.086, 0.339, 0.212]), 'channel2': array([ 0.067, -0.261, -0.242, ...,  0.683, -0.262, -0.272])}"
Bearing3_1,139,09:33:39,Training,"{'channel1': array([-0.453,  0.04 ,  0.02 , ...,  0.096, -0.05 ,  0.179]), 'channel2': array([ 0.652,  0.145, -0.683, ..., -0.008,  0.704,  0.413])}"
Bearing3_1,51,09:18:59,Training,"{'channel1': array([ 0.154, -0.244, -0.434, ...,  0.279,  0.189, -0.149]), 'channel2': array([-0.268, -0.05 ,  0.403, ...,  0.03 ,  0.213,  0.008])}"
